Begrotingsjaar;Valuta;eenheid;Uitgaven (U) Verplichtingen (V) Ontvangsten (O);Begrotingsstaat;Onderdeel;Omschrijving;ontwerpbegroting;vastgestelde begroting;1ste suppletoire begroting;2de suppletoire begroting;Realisatie;Url
2014;Euro;miljoen;V;Rijk;VII;Binnenlandse Zaken en Koninkrijksrelaties;631,3;;;;;
2014;Euro;miljoen;V;Rijk;VIII;Onderwijs, Cultuur en Wetenschap;0;;;;;
2014;Euro;miljoen;V;Rijk;IXA;Nationale Schuld (Transactiebasis);52364,2;;;;;
2014;Euro;miljoen;V;Rijk;IXB;Financien;18380,6;;;;;
2014;Euro;miljoen;V;Rijk;X;Defensie;8025,9;;;;;
2014;Euro;miljoen;V;Rijk;XI;Volkshuisvesting, Ruimtelijke Ordening en Milieubeheer;0;;;;;
2014;Euro;miljoen;V;Rijk;XII;Infrastructuur en Milieu;10171,1;;;;;
2014;Euro;miljoen;V;Rijk;XIII;Economische Zaken;9341,4;;;;;
2014;Euro;miljoen;V;Rijk;XV;Sociale Zaken en Werkgelegenheid;33755,9;;;;;
2014;Euro;miljoen;V;Rijk;XVI;Volksgezondheid, Welzijn en Sport;14596,6;;;;;
2014;Euro;miljoen;V;Rijk;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;3368;;;;;
2014;Euro;miljoen;V;Rijk;XVIII;Wonen & Rijksdienst;3440,9;;;;;
2014;Euro;miljoen;V;Rijk;A;Infrastructuurfonds;7415,9;;;;;
2014;Euro;miljoen;V;Rijk;B;Gemeentefonds;18381,2;;;;;
2014;Euro;miljoen;V;Rijk;C;Provinciefonds;1172;;;;;
2014;Euro;miljoen;V;Rijk;F;Diergezondheidsfonds;10,9;;;;;
2014;Euro;miljoen;V;Rijk;H;BES-fonds;32,7;;;;;
2014;Euro;miljoen;V;Rijk;J;Deltafonds;1675,3;;;;;
2014;Euro;x1000;U;Iia, Staten Generaal;-;TOTAAL;138100;;;;;
